Value1, Value2, ExpectedSum, Message
"0.3416315537593953765685357352563456345345", "0.3838482592917153184273162423313131231335", "0.13113467722966797767822266573512616286740380979365385343016855775076398845385575", Two small positive values
"-0.3416315537593953765685357352563456345345", "-0.3838482592917153184273162423313131231335", "0.13113467722966797767822266573512616286740380979365385343016855775076398845385575", Two small negative values
"0.3416315537593953765685357352563456345345", "-0.3838482592917153184273162423313131231335", "-0.13113467722966797767822266573512616286740380979365385343016855775076398845385575", Small positive and negative values
"0.3416315537593953765685357352563456345345", "0", "0", Small Positive and zero
"-0.3416315537593953765685357352563456345345", "0", "0", Small Negative and zero
"0", "0", "0", Two Zeros
"7123718238173987003074295297656276462374.76738291846352437846", "3264261346045068358459409604486945684964.39458287658244287345", "23253678084987621683963664397146800000656557238684160597812930545468645768300205.235187714838003708155201448964367685887", Two big positive values
"-7123718238173987003074295297656276462374.76738291846352437846", "-3264261346045068358459409604486945684964.39458287658244287345", "23253678084987621683963664397146800000656557238684160597812930545468645768300205.235187714838003708155201448964367685887", Two big negative values
"7123718238173987003074295297656276462374.76738291846352437846", "-3264261346045068358459409604486945684964.39458287658244287345", "-23253678084987621683963664397146800000656557238684160597812930545468645768300205.235187714838003708155201448964367685887", Big positive and negative values
"7123718238173987003074295297656276462374.76738291846352437846", "0", "0", Big positive and zero
"-7123718238173987003074295297656276462374.76738291846352437846", "0", "0", Big negative and zero
